 11
 1 83012
 3038 600 321
 1 2830 40 98
 2 2830 77 76
 3 2830 114 58
 4 2831 155 12
 5 2830 194 90
 6 2831 231 34
 7 2831 269 17
 8 2831 309 79
 9 2830 347 43
 10 2830 384 45
 11 2792 35 48
 12 2792 75 35
 13 2790 115 20
 14 2792 153 24
 15 2791 191 62
 16 2791 231 26
 17 2790 271 39
 18 2791 306 12
 19 2791 345 100
 20 2792 384 42
 21 2800 460 94
 22 2801 499 68
 23 2801 538 85
 24 2800 578 36
 25 2802 620 1
 26 2800 654 68
 27 2800 694 38
 28 2802 732 37
 29 2800 772 88
 30 2800 810 52
 31 2762 459 61
 32 2761 497 45
 33 2761 540 67
 34 2761 578 45
 35 2762 591 2
 36 2763 656 16
 37 2762 694 13
 38 2761 731 93
 39 2762 770 76
 40 2761 808 64
 41 2801 946 57
 42 2803 1034 62
 43 2723 943 81
 44 2724 1029 12
 45 2702 1003 27
 46 2800 1098 84
 47 2799 1137 23
 48 2831 1158 43
 49 2801 1178 29
 50 2800 1216 50
 51 2829 1237 89
 52 2801 1254 77
 53 2800 1292 17
 54 2800 1331 83
 55 2801 1370 57
 56 2799 1409 22
 57 2804 1450 83
 58 2759 1098 54
 59 2762 1138 48
 60 2762 1178 4
 61 2761 1213 15
 62 2763 1255 67
 63 2761 1293 27
 64 2763 1330 37
 65 2761 1369 24
 66 2759 1411 19
 67 2761 1446 60
 68 2762 617 20
 69 2801 1507 47
 70 2800 1548 89
 71 2801 1581 15
 72 2801 1619 85
 73 2799 1656 41
 74 2800 1698 82
 75 2800 1738 69
 76 2800 1781 84
 77 2799 1820 63
 78 2800 1856 51
 79 2760 1506 99
 80 2760 1543 2
 81 2763 1586 43
 82 2761 1621 22
 83 2761 1659 52
 84 2761 1698 17
 85 2762 1737 4
 86 2761 1775 26
 87 2762 1821 37
 88 2762 1853 68
 89 2800 2067 18
 90 2798 2102 27
 91 2799 2143 73
 92 2801 2183 46
 93 2800 2221 55
 94 2801 2262 79
 95 2800 2299 43
 96 2800 2337 64
 97 2801 2376 40
 98 2800 2414 91
 99 2760 2066 22
 100 2760 2105 38
 101 2761 2144 31
 102 2761 2184 61
 103 2763 2222 38
 104 2760 2259 14
 105 2761 2297 70
 106 2760 2338 86
 107 2761 2372 85
 108 2800 2411 22
 109 2800 2491 76
 110 2772 2512 71
 111 2732 2491 45
 112 2788 2167 86
 113 2762 2676 68
 114 2732 2618 39
 115 2761 2903 45
 116 2761 2983 34
 117 2799 3041 81
 118 2800 3083 65
 119 2799 3117 73
 120 2799 3085 78
 121 2799 3195 48
 122 2798 3234 39
 123 2799 3274 69
 124 2798 3312 7
 125 2798 3350 27
 126 2797 3389 50
 127 2799 3427 53
 128 2800 3464 56
 129 2864 3474 17
 130 2865 3515 23
 131 2798 3563 51
 132 2798 3796 64
 133 2797 3794 83
 134 2698 39 5
 135 2697 116 70
 136 2716 191 86
 137 2696 540 46
 138 2704 1437 61
 139 2704 1583 65
 140 2703 1680 11
 141 2694 2221 54
 142 2704 2317 86
 143 2714 2345 70
 144 2733 2374 76
 145 2720 3100 50
 146 2721 3147 18
 147 2752 3198 95
 148 2712 3194 11
 149 2683 3196 85
 150 2642 3195 56
 151 2763 3292 67
 152 2761 3332 51
 153 2761 3369 67
 154 2760 3409 46
 155 2732 3467 57
 156 2701 3621 14
 157 2699 3852 57
 158 2781 3940 95
 159 2701 3940 94
 160 2623 3945 10
 161 2621 -5 46
 162 2744 18 17
 163 2649 25 36
 164 2609 48 6
 165 2659 94 26
 166 2658 134 69
 167 2659 171 18
 168 2658 208 66
 169 2657 248 95
 170 2660 285 62
 171 2659 325 83
 172 2659 368 19
 173 2545 92 62
 174 2543 131 19
 175 2543 170 29
 176 2541 212 48
 177 2538 248 28
 178 2544 288 13
 179 2541 246 30
 180 2541 362 13
 181 2571 270 32
 182 2571 325 43
 183 2485 36 32
 184 2524 54 52
 185 2494 249 1
 186 2590 393 41
 187 2641 411 97
 188 2659 441 40
 189 2660 500 83
 190 2660 538 18
 191 2658 577 13
 192 2659 618 49
 193 2660 656 42
 194 2661 701 84
 195 2658 733 75
 196 2659 772 54
 197 2582 439 95
 198 2592 521 25
 199 2581 770 39
 200 2543 497 50
 201 2542 536 6
 202 2543 579 23
 203 2542 615 13
 204 2542 657 57
 205 2543 691 74
 206 2543 734 86
 207 2541 771 30
 208 2542 808 9
 209 2543 847 29
 210 2540 877 18
 211 2617 847 79
 212 2620 916 88
 213 2570 1004 42
 214 2529 1003 59
 215 2656 1042 2
 216 2658 1082 40
 217 2656 1118 32
 218 2657 1159 90
 219 2656 1200 44
 220 2657 1236 37
 221 2657 1272 83
 222 2657 1314 79
 223 2616 1137 11
 224 2617 1195 99
 225 2624 1273 87
 226 2598 1314 100
 227 2558 1214 96
 228 2542 1040 42
 229 2540 1079 36
 230 2541 1121 70
 231 2540 1156 44
 232 2539 1195 29
 233 2539 1231 92
 234 2540 1272 44
 235 2540 1311 99
 236 2501 1342 86
 237 2540 1358 7
 238 2540 1398 60
 239 2512 1436 2
 240 2628 1435 64
 241 2643 1484 47
 242 2667 1524 100
 243 2666 1560 69
 244 2665 1601 59
 245 2667 1640 15
 246 2665 1679 58
 247 2665 1728 96
 248 2666 1755 40
 249 2666 1794 37
 250 2665 1836 31
 251 2667 1873 58
 252 2646 1486 4
 253 2617 1525 79
 254 2628 1715 59
 255 2618 1756 7
 256 2548 1524 42
 257 2550 1561 80
 258 2552 1600 86
 259 2550 1640 30
 260 2550 1677 55
 261 2551 1717 67
 262 2551 1756 83
 263 2551 1798 94
 264 2549 1832 28
 265 2550 1874 23
 266 2579 1893 31
 267 2665 1935 80
 268 2647 1991 78
 269 2667 2025 88
 270 2667 2064 27
 271 2667 2104 89
 272 2665 2139 13
 273 2666 2178 96
 274 2665 2220 27
 275 2665 2254 1
 276 2548 2258 67
 277 2549 2218 27
 278 2549 2180 18
 279 2550 2141 51
 280 2549 2103 40
 281 2548 2064 84
 282 2548 2025 7
 283 2538 1987 100
 284 2590 2333 90
 285 2666 2328 37
 286 2667 2394 92
 287 2667 2432 38
 288 2666 2470 62
 289 2666 2508 20
 290 2665 2550 64
 291 2665 2586 73
 292 2666 2626 52
 293 2549 2393 85
 294 2548 2431 4
 295 2549 2473 32
 296 2548 2512 31
 297 2546 2548 32
 298 2550 2591 98
 299 2548 2627 37
 300 2687 2716 20
 301 2686 2868 87
 302 2647 2711 73
 303 2645 2866 50
 304 2643 2906 56
 305 2645 2984 54
 306 2604 2905 43
 307 2605 3109 38
 308 2605 3136 64
 309 2606 3290 26
 310 2606 3333 70
 311 2606 3368 18
 312 2604 3410 24
 313 2568 3037 1
 314 2568 3079 34
 315 2568 3119 97
 316 2567 3157 87
 317 2566 3195 95
